task_a_id,task_b_id,task_a_subject,task_b_subject,order,choice,raw_response,success,error,response_time,api_call_id,timestamp,winner_id,winner_subject
12,10,conceptual_physics,college_physics,BA,A,A,True,,0.6736838817596436,1,2025-07-19T23:28:17.530490,12,conceptual_physics
2,1,astronomy,anatomy,BA,B,B,True,,0.2646305561065674,2,2025-07-19T23:28:17.795162,1,anatomy
11,12,computer_security,conceptual_physics,AB,A,A,True,,0.2530350685119629,3,2025-07-19T23:28:18.048246,11,computer_security
14,13,electrical_engineering,econometrics,BA,B,B,True,,0.33215880393981934,4,2025-07-19T23:28:18.380454,13,econometrics
4,6,clinical_knowledge,college_chemistry,AB,A,A,True,,0.251309871673584,5,2025-07-19T23:28:18.631808,4,clinical_knowledge
6,19,college_chemistry,high_school_chemistry,AB,A,A,True,,0.5419175624847412,6,2025-07-19T23:28:19.173763,6,college_chemistry
8,3,college_mathematics,business_ethics,BA,A,A,True,,0.27604174613952637,7,2025-07-19T23:28:19.449853,8,college_mathematics
3,2,business_ethics,astronomy,BA,B,B,True,,0.24698567390441895,8,2025-07-19T23:28:19.696884,2,astronomy
1,3,anatomy,business_ethics,AB,A,A,True,,0.5808799266815186,9,2025-07-19T23:28:20.277799,1,anatomy
3,13,business_ethics,econometrics,AB,B,B,True,,0.6256468296051025,10,2025-07-19T23:28:20.903495,13,econometrics
8,11,college_mathematics,computer_security,AB,A,A,True,,0.21685028076171875,11,2025-07-19T23:28:21.120385,8,college_mathematics
18,11,high_school_biology,computer_security,BA,A,A,True,,0.2643015384674072,12,2025-07-19T23:28:21.384720,18,high_school_biology
6,7,college_chemistry,college_computer_science,AB,A,A,True,,0.2992434501647949,13,2025-07-19T23:28:21.684013,6,college_chemistry
9,12,college_medicine,conceptual_physics,AB,A,A,True,,0.22286128997802734,14,2025-07-19T23:28:21.906922,9,college_medicine
3,7,business_ethics,college_computer_science,AB,B,B,True,,0.23484396934509277,15,2025-07-19T23:28:22.141808,7,college_computer_science
18,6,high_school_biology,college_chemistry,BA,A,A,True,,0.24365854263305664,16,2025-07-19T23:28:22.385503,18,high_school_biology
