task_a_id,task_b_id,task_a_subject,task_b_subject,order,choice,raw_response,success,error,response_time,api_call_id,timestamp,winner_id,winner_subject
0,1,abstract_algebra,anatomy,AB,A,A,True,,0.813112735748291,1,2025-07-20T02:44:30.173008,0,abstract_algebra
1,0,anatomy,abstract_algebra,BA,B,B,True,,0.5522818565368652,2,2025-07-20T02:44:30.725322,0,abstract_algebra
0,2,abstract_algebra,astronomy,AB,A,A,True,,0.7168622016906738,3,2025-07-20T02:44:31.442232,0,abstract_algebra
2,0,astronomy,abstract_algebra,BA,A,A,True,,0.188584566116333,4,2025-07-20T02:44:31.630855,2,astronomy
0,3,abstract_algebra,business_ethics,AB,A,A,True,,0.7847425937652588,5,2025-07-20T02:44:32.415634,0,abstract_algebra
3,0,business_ethics,abstract_algebra,BA,B,B,True,,0.32725024223327637,6,2025-07-20T02:44:32.742917,0,abstract_algebra
1,2,anatomy,astronomy,AB,A,A,True,,0.28923654556274414,7,2025-07-20T02:44:33.032182,1,anatomy
2,1,astronomy,anatomy,BA,A,A,True,,0.254530668258667,8,2025-07-20T02:44:33.286752,2,astronomy
1,3,anatomy,business_ethics,AB,A,A,True,,0.7354578971862793,9,2025-07-20T02:44:34.022246,1,anatomy
3,1,business_ethics,anatomy,BA,B,B,True,,0.2818775177001953,10,2025-07-20T02:44:34.304156,1,anatomy
1,4,anatomy,clinical_knowledge,AB,A,A,True,,0.20073819160461426,11,2025-07-20T02:44:34.504931,1,anatomy
4,1,clinical_knowledge,anatomy,BA,A,A,True,,0.2748069763183594,12,2025-07-20T02:44:34.779775,4,clinical_knowledge
2,3,astronomy,business_ethics,AB,A,A,True,,0.23350834846496582,13,2025-07-20T02:44:35.013316,2,astronomy
3,2,business_ethics,astronomy,BA,B,B,True,,0.34738707542419434,14,2025-07-20T02:44:35.360731,2,astronomy
2,4,astronomy,clinical_knowledge,AB,A,A,True,,1.2724149227142334,15,2025-07-20T02:44:36.633177,2,astronomy
4,2,clinical_knowledge,astronomy,BA,B,B,True,,0.22315216064453125,16,2025-07-20T02:44:36.856369,2,astronomy
