task_a_id,task_b_id,task_a_subject,task_b_subject,order,choice,raw_response,success,error,response_time,api_call_id,timestamp,winner_id,winner_subject
0,1,abstract_algebra,anatomy,AB,A,A,True,,0.2856009006500244,1,2025-07-20T02:46:30.383430,0,abstract_algebra
1,0,anatomy,abstract_algebra,BA,B,B,True,,0.31943845748901367,2,2025-07-20T02:46:30.702907,0,abstract_algebra
0,1,abstract_algebra,anatomy,AB,A,A,True,,0.25986671447753906,3,2025-07-20T02:46:30.962805,0,abstract_algebra
1,0,anatomy,abstract_algebra,BA,B,B,True,,0.6193709373474121,4,2025-07-20T02:46:31.582207,0,abstract_algebra
0,2,abstract_algebra,astronomy,AB,A,A,True,,0.5285484790802002,5,2025-07-20T02:46:32.110790,0,abstract_algebra
2,0,astronomy,abstract_algebra,BA,A,A,True,,0.2935760021209717,6,2025-07-20T02:46:32.404396,2,astronomy
0,2,abstract_algebra,astronomy,AB,A,A,True,,0.2963261604309082,7,2025-07-20T02:46:32.700751,0,abstract_algebra
2,0,astronomy,abstract_algebra,BA,A,A,True,,0.2665669918060303,8,2025-07-20T02:46:32.967351,2,astronomy
0,3,abstract_algebra,business_ethics,AB,A,A,True,,0.3408091068267822,9,2025-07-20T02:46:33.308191,0,abstract_algebra
3,0,business_ethics,abstract_algebra,BA,B,B,True,,0.30727314949035645,10,2025-07-20T02:46:33.615489,0,abstract_algebra
0,4,abstract_algebra,clinical_knowledge,AB,A,A,True,,0.25899529457092285,11,2025-07-20T02:46:33.874508,0,abstract_algebra
4,0,clinical_knowledge,abstract_algebra,BA,B,B,True,,0.2882344722747803,12,2025-07-20T02:46:34.162774,0,abstract_algebra
0,5,abstract_algebra,college_biology,AB,A,A,True,,0.1994638442993164,13,2025-07-20T02:46:34.362270,0,abstract_algebra
5,0,college_biology,abstract_algebra,BA,B,B,True,,0.3121342658996582,14,2025-07-20T02:46:34.674434,0,abstract_algebra
1,2,anatomy,astronomy,AB,A,A,True,,0.3080284595489502,15,2025-07-20T02:46:34.982499,1,anatomy
2,1,astronomy,anatomy,BA,A,A,True,,0.27199625968933105,16,2025-07-20T02:46:35.254526,2,astronomy
1,2,anatomy,astronomy,AB,A,A,True,,0.4110860824584961,17,2025-07-20T02:46:35.665642,1,anatomy
2,1,astronomy,anatomy,BA,A,A,True,,0.25602126121520996,18,2025-07-20T02:46:35.921712,2,astronomy
1,3,anatomy,business_ethics,AB,A,A,True,,0.3516733646392822,19,2025-07-20T02:46:36.273411,1,anatomy
3,1,business_ethics,anatomy,BA,B,B,True,,0.2583494186401367,20,2025-07-20T02:46:36.531790,1,anatomy
1,3,anatomy,business_ethics,AB,A,A,True,,0.4102060794830322,21,2025-07-20T02:46:36.942035,1,anatomy
3,1,business_ethics,anatomy,BA,B,B,True,,0.2253284454345703,22,2025-07-20T02:46:37.167404,1,anatomy
1,4,anatomy,clinical_knowledge,AB,A,A,True,,0.2995615005493164,23,2025-07-20T02:46:37.466999,1,anatomy
4,1,clinical_knowledge,anatomy,BA,A,A,True,,0.23850464820861816,24,2025-07-20T02:46:37.705535,4,clinical_knowledge
1,5,anatomy,college_biology,AB,A,A,True,,0.3085973262786865,25,2025-07-20T02:46:38.014167,1,anatomy
5,1,college_biology,anatomy,BA,A,A,True,,0.24238348007202148,26,2025-07-20T02:46:38.256581,5,college_biology
1,6,anatomy,college_chemistry,AB,B,B,True,,0.2710416316986084,27,2025-07-20T02:46:38.527649,6,college_chemistry
6,1,college_chemistry,anatomy,BA,A,A,True,,0.3549172878265381,28,2025-07-20T02:46:38.882592,6,college_chemistry
2,3,astronomy,business_ethics,AB,A,A,True,,0.2814476490020752,29,2025-07-20T02:46:39.164069,2,astronomy
3,2,business_ethics,astronomy,BA,B,B,True,,0.24165058135986328,30,2025-07-20T02:46:39.405756,2,astronomy
2,3,astronomy,business_ethics,AB,A,A,True,,0.2600226402282715,31,2025-07-20T02:46:39.665809,2,astronomy
3,2,business_ethics,astronomy,BA,B,B,True,,0.24047422409057617,32,2025-07-20T02:46:39.906315,2,astronomy
2,4,astronomy,clinical_knowledge,AB,A,A,True,,0.2929527759552002,33,2025-07-20T02:46:40.199292,2,astronomy
4,2,clinical_knowledge,astronomy,BA,B,B,True,,0.49252820014953613,34,2025-07-20T02:46:40.691853,2,astronomy
2,4,astronomy,clinical_knowledge,AB,A,A,True,,0.31883811950683594,35,2025-07-20T02:46:41.010722,2,astronomy
4,2,clinical_knowledge,astronomy,BA,B,B,True,,0.2456519603729248,36,2025-07-20T02:46:41.256399,2,astronomy
2,5,astronomy,college_biology,AB,A,A,True,,0.23192310333251953,37,2025-07-20T02:46:41.488347,2,astronomy
5,2,college_biology,astronomy,BA,B,B,True,,0.20841026306152344,38,2025-07-20T02:46:41.696787,2,astronomy
2,6,astronomy,college_chemistry,AB,A,A,True,,0.345473051071167,39,2025-07-20T02:46:42.042293,2,astronomy
6,2,college_chemistry,astronomy,BA,A,A,True,,0.19815921783447266,40,2025-07-20T02:46:42.240507,6,college_chemistry
2,7,astronomy,college_computer_science,AB,A,A,True,,0.430039644241333,41,2025-07-20T02:46:42.670580,2,astronomy
7,2,college_computer_science,astronomy,BA,A,A,True,,0.33574533462524414,42,2025-07-20T02:46:43.006359,7,college_computer_science
3,4,business_ethics,clinical_knowledge,AB,B,B,True,,0.2972855567932129,43,2025-07-20T02:46:43.303677,4,clinical_knowledge
4,3,clinical_knowledge,business_ethics,BA,A,A,True,,0.3206758499145508,44,2025-07-20T02:46:43.624382,4,clinical_knowledge
3,4,business_ethics,clinical_knowledge,AB,B,B,True,,0.28290605545043945,45,2025-07-20T02:46:43.907314,4,clinical_knowledge
4,3,clinical_knowledge,business_ethics,BA,A,A,True,,0.3279600143432617,46,2025-07-20T02:46:44.235303,4,clinical_knowledge
3,5,business_ethics,college_biology,AB,B,B,True,,1.5824429988861084,47,2025-07-20T02:46:45.817782,5,college_biology
5,3,college_biology,business_ethics,BA,A,A,True,,0.26475977897644043,48,2025-07-20T02:46:46.082575,5,college_biology
3,5,business_ethics,college_biology,AB,B,B,True,,0.2409040927886963,49,2025-07-20T02:46:46.323507,5,college_biology
5,3,college_biology,business_ethics,BA,A,A,True,,0.34956932067871094,50,2025-07-20T02:46:46.673106,5,college_biology
3,6,business_ethics,college_chemistry,AB,B,B,True,,0.39200448989868164,51,2025-07-20T02:46:47.065145,6,college_chemistry
6,3,college_chemistry,business_ethics,BA,A,A,True,,0.2846059799194336,52,2025-07-20T02:46:47.349787,6,college_chemistry
3,7,business_ethics,college_computer_science,AB,B,B,True,,0.28888535499572754,53,2025-07-20T02:46:47.638708,7,college_computer_science
7,3,college_computer_science,business_ethics,BA,A,A,True,,0.19304990768432617,54,2025-07-20T02:46:47.831792,7,college_computer_science
3,8,business_ethics,college_mathematics,AB,B,B,True,,0.2901911735534668,55,2025-07-20T02:46:48.122016,8,college_mathematics
8,3,college_mathematics,business_ethics,BA,A,A,True,,0.2824404239654541,56,2025-07-20T02:46:48.404491,8,college_mathematics
4,5,clinical_knowledge,college_biology,AB,B,B,True,,0.31559062004089355,57,2025-07-20T02:46:48.720111,5,college_biology
5,4,college_biology,clinical_knowledge,BA,B,B,True,,0.3391897678375244,58,2025-07-20T02:46:49.059329,4,clinical_knowledge
4,5,clinical_knowledge,college_biology,AB,B,B,True,,0.26723194122314453,59,2025-07-20T02:46:49.326589,5,college_biology
5,4,college_biology,clinical_knowledge,BA,B,B,True,,0.21340084075927734,60,2025-07-20T02:46:49.540022,4,clinical_knowledge
4,6,clinical_knowledge,college_chemistry,AB,A,A,True,,0.26750636100769043,61,2025-07-20T02:46:49.807555,4,clinical_knowledge
6,4,college_chemistry,clinical_knowledge,BA,A,A,True,,0.23169159889221191,62,2025-07-20T02:46:50.039278,6,college_chemistry
4,6,clinical_knowledge,college_chemistry,AB,B,B,True,,0.23174142837524414,63,2025-07-20T02:46:50.271051,6,college_chemistry
6,4,college_chemistry,clinical_knowledge,BA,A,A,True,,0.3246591091156006,64,2025-07-20T02:46:50.595739,6,college_chemistry
4,7,clinical_knowledge,college_computer_science,AB,B,B,True,,0.2854785919189453,65,2025-07-20T02:46:50.881250,7,college_computer_science
7,4,college_computer_science,clinical_knowledge,BA,A,A,True,,0.25850844383239746,66,2025-07-20T02:46:51.139793,7,college_computer_science
4,8,clinical_knowledge,college_mathematics,AB,B,B,True,,0.31502556800842285,67,2025-07-20T02:46:51.454848,8,college_mathematics
8,4,college_mathematics,clinical_knowledge,BA,A,A,True,,0.35521650314331055,68,2025-07-20T02:46:51.810093,8,college_mathematics
4,9,clinical_knowledge,college_medicine,AB,A,A,True,,0.3284327983856201,69,2025-07-20T02:46:52.138561,4,clinical_knowledge
9,4,college_medicine,clinical_knowledge,BA,A,A,True,,0.2510986328125,70,2025-07-20T02:46:52.389694,9,college_medicine
5,6,college_biology,college_chemistry,AB,A,A,True,,0.2553834915161133,71,2025-07-20T02:46:52.645109,5,college_biology
6,5,college_chemistry,college_biology,BA,A,A,True,,0.4179191589355469,72,2025-07-20T02:46:53.063065,6,college_chemistry
5,6,college_biology,college_chemistry,AB,A,A,True,,0.24954867362976074,73,2025-07-20T02:46:53.312652,5,college_biology
6,5,college_chemistry,college_biology,BA,A,A,True,,0.2231273651123047,74,2025-07-20T02:46:53.535817,6,college_chemistry
5,7,college_biology,college_computer_science,AB,A,A,True,,0.24754714965820312,75,2025-07-20T02:46:53.783397,5,college_biology
7,5,college_computer_science,college_biology,BA,A,A,True,,0.3843832015991211,76,2025-07-20T02:46:54.167806,7,college_computer_science
5,7,college_biology,college_computer_science,AB,A,A,True,,0.3183913230895996,77,2025-07-20T02:46:54.486226,5,college_biology
7,5,college_computer_science,college_biology,BA,A,A,True,,0.25828051567077637,78,2025-07-20T02:46:54.744542,7,college_computer_science
5,8,college_biology,college_mathematics,AB,B,B,True,,0.2705824375152588,79,2025-07-20T02:46:55.015161,8,college_mathematics
8,5,college_mathematics,college_biology,BA,A,A,True,,0.3416604995727539,80,2025-07-20T02:46:55.356854,8,college_mathematics
5,9,college_biology,college_medicine,AB,A,A,True,,0.2216944694519043,81,2025-07-20T02:46:55.578580,5,college_biology
9,5,college_medicine,college_biology,BA,A,A,True,,0.29439878463745117,82,2025-07-20T02:46:55.873013,9,college_medicine
5,10,college_biology,college_physics,AB,B,B,True,,0.25926828384399414,83,2025-07-20T02:46:56.132315,10,college_physics
10,5,college_physics,college_biology,BA,A,A,True,,0.2797203063964844,84,2025-07-20T02:46:56.412068,10,college_physics
6,7,college_chemistry,college_computer_science,AB,A,A,True,,0.3222217559814453,85,2025-07-20T02:46:56.734316,6,college_chemistry
7,6,college_computer_science,college_chemistry,BA,A,A,True,,0.2988729476928711,86,2025-07-20T02:46:57.033216,7,college_computer_science
6,7,college_chemistry,college_computer_science,AB,A,A,True,,0.28554534912109375,87,2025-07-20T02:46:57.318788,6,college_chemistry
7,6,college_computer_science,college_chemistry,BA,A,A,True,,0.4747433662414551,88,2025-07-20T02:46:57.793566,7,college_computer_science
6,8,college_chemistry,college_mathematics,AB,A,A,True,,0.233140230178833,89,2025-07-20T02:46:58.026741,6,college_chemistry
8,6,college_mathematics,college_chemistry,BA,A,A,True,,0.3229353427886963,90,2025-07-20T02:46:58.349712,8,college_mathematics
6,8,college_chemistry,college_mathematics,AB,A,A,True,,0.22646164894104004,91,2025-07-20T02:46:58.576209,6,college_chemistry
8,6,college_mathematics,college_chemistry,BA,A,A,True,,0.3139462471008301,92,2025-07-20T02:46:58.890189,8,college_mathematics
6,9,college_chemistry,college_medicine,AB,A,A,True,,0.2016913890838623,93,2025-07-20T02:46:59.091914,6,college_chemistry
9,6,college_medicine,college_chemistry,BA,A,A,True,,0.31328821182250977,94,2025-07-20T02:46:59.405229,9,college_medicine
6,10,college_chemistry,college_physics,AB,A,A,True,,0.20967388153076172,95,2025-07-20T02:46:59.614933,6,college_chemistry
10,6,college_physics,college_chemistry,BA,A,A,True,,0.36034202575683594,96,2025-07-20T02:46:59.975309,10,college_physics
6,11,college_chemistry,computer_security,AB,A,A,True,,0.22241497039794922,97,2025-07-20T02:47:00.197760,6,college_chemistry
11,6,computer_security,college_chemistry,BA,A,A,True,,0.33272624015808105,98,2025-07-20T02:47:00.530523,11,computer_security
7,8,college_computer_science,college_mathematics,AB,B,B,True,,0.2625904083251953,99,2025-07-20T02:47:00.793148,8,college_mathematics
8,7,college_mathematics,college_computer_science,BA,A,A,True,,0.24037933349609375,100,2025-07-20T02:47:01.033563,8,college_mathematics
7,8,college_computer_science,college_mathematics,AB,B,B,True,,0.2447962760925293,101,2025-07-20T02:47:01.278432,8,college_mathematics
8,7,college_mathematics,college_computer_science,BA,A,A,True,,0.26952219009399414,102,2025-07-20T02:47:01.547983,8,college_mathematics
7,9,college_computer_science,college_medicine,AB,A,A,True,,0.25665283203125,103,2025-07-20T02:47:01.804659,7,college_computer_science
9,7,college_medicine,college_computer_science,BA,A,A,True,,0.2897043228149414,104,2025-07-20T02:47:02.094391,9,college_medicine
7,9,college_computer_science,college_medicine,AB,A,A,True,,0.28339624404907227,105,2025-07-20T02:47:02.377816,7,college_computer_science
9,7,college_medicine,college_computer_science,BA,A,A,True,,1.3164341449737549,106,2025-07-20T02:47:03.694282,9,college_medicine
7,10,college_computer_science,college_physics,AB,A,A,True,,0.3112020492553711,107,2025-07-20T02:47:04.005514,7,college_computer_science
10,7,college_physics,college_computer_science,BA,A,A,True,,0.2892615795135498,108,2025-07-20T02:47:04.294801,10,college_physics
7,11,college_computer_science,computer_security,AB,B,B,True,,0.2647099494934082,109,2025-07-20T02:47:04.559536,11,computer_security
11,7,computer_security,college_computer_science,BA,A,A,True,,0.38008737564086914,110,2025-07-20T02:47:04.939651,11,computer_security
7,12,college_computer_science,conceptual_physics,AB,B,B,True,,0.3660731315612793,111,2025-07-20T02:47:05.305761,12,conceptual_physics
12,7,conceptual_physics,college_computer_science,BA,A,A,True,,0.31709718704223633,112,2025-07-20T02:47:05.622892,12,conceptual_physics
8,9,college_mathematics,college_medicine,AB,A,A,True,,0.375948429107666,113,2025-07-20T02:47:05.998874,8,college_mathematics
9,8,college_medicine,college_mathematics,BA,A,A,True,,0.30572509765625,114,2025-07-20T02:47:06.304633,9,college_medicine
8,9,college_mathematics,college_medicine,AB,A,A,True,,0.2566087245941162,115,2025-07-20T02:47:06.561273,8,college_mathematics
9,8,college_medicine,college_mathematics,BA,A,A,True,,0.2513606548309326,116,2025-07-20T02:47:06.812664,9,college_medicine
8,10,college_mathematics,college_physics,AB,A,A,True,,0.30546140670776367,117,2025-07-20T02:47:07.118151,8,college_mathematics
10,8,college_physics,college_mathematics,BA,A,A,True,,0.2412707805633545,118,2025-07-20T02:47:07.359451,10,college_physics
8,10,college_mathematics,college_physics,AB,A,A,True,,0.257676362991333,119,2025-07-20T02:47:07.617158,8,college_mathematics
10,8,college_physics,college_mathematics,BA,A,A,True,,0.31922030448913574,120,2025-07-20T02:47:07.936410,10,college_physics
8,11,college_mathematics,computer_security,AB,B,B,True,,0.2216789722442627,121,2025-07-20T02:47:08.158125,11,computer_security
11,8,computer_security,college_mathematics,BA,A,A,True,,0.39333105087280273,122,2025-07-20T02:47:08.551491,11,computer_security
8,12,college_mathematics,conceptual_physics,AB,A,A,True,,0.33919811248779297,123,2025-07-20T02:47:08.890725,8,college_mathematics
12,8,conceptual_physics,college_mathematics,BA,A,A,True,,0.27268552780151367,124,2025-07-20T02:47:09.163440,12,conceptual_physics
8,13,college_mathematics,econometrics,AB,B,B,True,,0.26989269256591797,125,2025-07-20T02:47:09.433358,13,econometrics
13,8,econometrics,college_mathematics,BA,A,A,True,,0.3528726100921631,126,2025-07-20T02:47:09.786258,13,econometrics
9,10,college_medicine,college_physics,AB,A,A,True,,0.3014364242553711,127,2025-07-20T02:47:10.087732,9,college_medicine
10,9,college_physics,college_medicine,BA,A,A,True,,0.2057344913482666,128,2025-07-20T02:47:10.293500,10,college_physics
9,10,college_medicine,college_physics,AB,A,A,True,,0.27080225944519043,129,2025-07-20T02:47:10.564338,9,college_medicine
10,9,college_physics,college_medicine,BA,A,A,True,,0.33519458770751953,130,2025-07-20T02:47:10.899570,10,college_physics
9,11,college_medicine,computer_security,AB,A,A,True,,0.3340902328491211,131,2025-07-20T02:47:11.233696,9,college_medicine
11,9,computer_security,college_medicine,BA,A,A,True,,0.27893996238708496,132,2025-07-20T02:47:11.512670,11,computer_security
9,11,college_medicine,computer_security,AB,A,A,True,,0.2596566677093506,133,2025-07-20T02:47:11.772355,9,college_medicine
11,9,computer_security,college_medicine,BA,A,A,True,,0.2897670269012451,134,2025-07-20T02:47:12.062149,11,computer_security
9,12,college_medicine,conceptual_physics,AB,A,A,True,,0.2992055416107178,135,2025-07-20T02:47:12.361381,9,college_medicine
